Row,Name,Count,crank1,crankx
228,CHRISTIAN ,248,-10Ê ,-103Ê
229,OMAR ,246,-20Ê ,-38Ê
230,ZAKARIYA ,245,-8Ê ,+85Ê
231,RAPHAEL ,243,+3Ê ,+41Ê
232,MARCEL ,239,+24Ê ,+436Ê
232,ROBIN ,239,+21Ê ,+66Ê
234,HUDSON ,237,+34Ê ,+927Ê
235,EESA ,234,+3Ê ,+364Ê
235,WILFRED ,234,+10Ê ,+235Ê
237,ADRIAN ,232,-34Ê ,+35Ê
237,LENNON ,232,-6Ê ,-11Ê
239,ZAYN ,231,+5Ê ,+417Ê
240,EMMANUEL ,230,-13Ê ,-37Ê
240,ISAIAH ,230,+33Ê ,+230Ê
240,TOM ,230,-22Ê ,-143Ê
243,ANTONI ,227,+18Ê ,+2062Ê
243,MUSTAFA ,227,-37Ê ,-12Ê
243,VICTOR ,227,-2Ê ,+85Ê
246,MALACHI ,226,-7Ê ,-39Ê
247,MARTIN ,220,+21Ê ,-44Ê
248,DOMINIK ,218,-22Ê ,+526Ê
248,PRESTON ,218,-31Ê ,+975Ê
250,DECLAN ,217,-52Ê ,-158Ê
251,UMAR ,212,+17Ê ,-36Ê
252,SIDNEY ,208,-19Ê ,+76Ê
253,ISMAIL ,204,+12Ê ,-34Ê
253,SHAY ,204,-6Ê ,-73Ê
255,ARJUN ,197,+4Ê ,-15Ê
255,JAIDEN ,197,-30Ê ,+83Ê
255,SEAN ,197,-16Ê ,-172Ê
258,ARYAN ,196,_Ê ,-35Ê
258,JAXSON ,196,+111Ê ,+2321Ê
260,RUFUS ,195,-23Ê ,+142Ê
261,JAN ,190,-9Ê ,+443Ê
262,BRODIE ,189,+20Ê ,+40Ê
263,JUNIOR ,188,-10Ê ,+327Ê
264,JOSH ,185,-4Ê ,-164Ê
264,LEONARD ,185,+54Ê ,+195Ê
266,XANDER ,184,+5Ê ,+72Ê
267,REX ,181,+55Ê ,+772Ê
267,RICHARD ,181,-6Ê ,-100Ê
269,CASPER ,180,+17Ê ,+356Ê
269,CIAN ,180,-21Ê ,-92Ê
269,HASSAN ,180,-21Ê ,-89Ê
269,MARSHALL ,180,+60Ê ,-72Ê
269,TRAVIS ,180,-5Ê ,-67Ê
274,TIMOTHY ,178,+25Ê ,-59Ê
275,RAFAEL ,175,-18Ê ,+257Ê
276,DOUGLAS ,171,+62Ê ,+22Ê
276,HECTOR ,171,+15Ê ,+178Ê
278,AARAV ,170,-2Ê ,Ê:Ê
278,JULIAN ,170,+13Ê ,+74Ê
280,AHMAD ,169,-3Ê ,+11Ê
280,ALEKSANDER ,169,+43Ê ,+881Ê
282,CASEY ,166,-27Ê ,-64Ê
283,NICOLAS ,165,+10Ê ,+69Ê
284,OTIS ,164,+45Ê ,+466Ê
